BX = 000 Event : 1
0x01 0111000|1010001 0x1C51
0x02 0111001|0001111 0x1C8F
0x03 0111001|1010001 0x1CD1
0x04 0111001|0010100 0x1C94
BX = 111 Event : 80
0x00 0000000|0000000 0x0000
0x01 0000000|1010000 0x0050
0x02 0101000|0000000 0x1400
0x03 0101000|1010000 0x1450
0x04 0101001|0001000 0x1488
0x05 0101001|1011100 0x14DC
0x06 0101101|0110111 0x16B7
0x07 0101110|0110111 0x1737
0x08 0101110|0111011 0x173B
0x09 0110010|0000000 0x1900
0x0a 0110010|1010000 0x1950
BX = 000 Event : 81
0x00 0001001|0001010 0x048A
0x01 0001010|0001010 0x050A
0x02 0001010|0001110 0x050E
0x03 0101010|0101110 0x152E
BX = 001 Event : 82
0x00 0010011|0010001 0x0991
BX = 010 Event : 83
0x00 0001011|0001101 0x058D
0x01 0001011|0001110 0x058E
0x02 0001011|0001100 0x058C
0x03 0001011|0010000 0x0590
0x04 0001100|0001101 0x060D
0x05 0001100|0001100 0x060C
0x06 0001100|0010000 0x0610
BX = 011 Event : 84
0x00 0101000|1000110 0x1446
0x01 0101000|0001011 0x140B
0x02 0101000|1001011 0x144B
BX = 100 Event : 85
0x00 1000101|0011010 0x229A
0x01 1000101|0011100 0x229C
0x02 1000101|0011101 0x229D
0x03 1000110|0011010 0x231A
0x04 1000110|0011101 0x231D
BX = 101 Event : 86
0x00 0000111|0011001 0x0399
0x01 0000111|0011010 0x039A
0x02 0000111|0011011 0x039B
0x03 0001001|0011001 0x0499
0x04 0001001|0011010 0x049A
0x05 0001001|0011011 0x049B
0x06 0001010|0011001 0x0519
0x07 0001010|0011010 0x051A
0x08 0001010|0011011 0x051B
0x09 0111000|0000011 0x1C03
BX = 110 Event : 87
0x00 0011100|0000011 0x0E03
0x01 0011100|0111110 0x0E3E
0x02 0011100|1000000 0x0E40
0x03 0011101|0001101 0x0E8D
0x04 0011101|1000000 0x0EC0
BX = 111 Event : 88
0x00 0001011|0010100 0x0594
0x01 0001011|0010101 0x0595
0x02 0001011|0011000 0x0598
0x03 0001011|0011011 0x059B
0x04 0001101|0011000 0x0698
0x05 0001101|0011011 0x069B
0x06 0001110|0011000 0x0718
0x07 0001110|0011011 0x071B
0x08 0001111|0011000 0x0798
0x09 0001111|0011011 0x079B
0x0a 0111000|0110000 0x1C30
BX = 000 Event : 89
0x00 0100110|0100000 0x1320
0x01 0100111|0101111 0x13AF
0x02 0100111|0101101 0x13AD
BX = 001 Event : 90
0x00 0010010|0010101 0x0915
0x01 0101110|0011010 0x171A
0x02 0101110|0011100 0x171C
BX = 010 Event : 91
0x00 0000011|0110111 0x01B7
0x01 0000011|0111001 0x01B9
0x02 0000011|0111010 0x01BA
0x03 0000011|1000010 0x01C2
0x04 0110101|0110111 0x1AB7
0x05 0110110|0000000 0x1B00
0x06 0110110|0110111 0x1B37
0x07 0110110|0111001 0x1B39
0x08 0110110|0111010 0x1B3A
0x09 0110111|0110111 0x1BB7
0x0a 0111011|0101010 0x1DAA
0x0b 0111100|0101010 0x1E2A
BX = 011 Event : 92
0x00 0000110|0010011 0x0313
0x01 0000110|0010100 0x0314
0x02 0001011|0011110 0x059E
0x03 0001011|0100001 0x05A1
0x04 0101011|0000001 0x1581
BX = 100 Event : 93
0x00 0000111|0001100 0x038C
0x01 0101000|1000000 0x1440
0x02 0101010|1000000 0x1540
BX = 101 Event : 94
0x00 0100011|0000011 0x1183
0x01 0100101|0000011 0x1283
0x02 0100110|0000011 0x1303
0x03 0101000|0000011 0x1403
0x04 0101011|0110101 0x15B5
0x05 0101111|0011111 0x179F
BX = 110 Event : 95
0x00 0100000|0101111 0x102F
0x01 0100001|0111001 0x10B9
0x02 0100001|0000110 0x1086
0x03 0100100|0101001 0x1229
BX = 111 Event : 96
0x00 0110100|1010100 0x1A54
0x01 0111001|0001111 0x1C8F
0x02 0111001|1010100 0x1CD4
0x03 0111001|1010110 0x1CD6
0x04 1000001|1000011 0x20C3
BX = 000 Event : 97
0x00 0101101|0000111 0x1687
0x01 0101111|0000111 0x1787
0x02 0110001|0001010 0x188A
0x03 0110001|0001011 0x188B
BX = 001 Event : 98
BX = 010 Event : 99
0x00 0000010|0111001 0x0139
0x01 0010101|0100010 0x0AA2
BX = 011 Event : 100
0x00 0001001|0010000 0x0490
0x01 0001001|0010001 0x0491
0x02 0001001|0001111 0x048F
0x03 0001010|0010000 0x0510
0x04 0001010|0001111 0x050F
0x05 0111000|0000110 0x1C06
