BX = 000 Event : 1
0x01 0001010|0011111 0x051F
0x02 0010100|0011111 0x0A1F
0x03 0010101|0011111 0x0A9F
0x04 0010101|0100011 0x0AA3
0x05 0101111|0110001 0x17B1
0x06 0101111|0110010 0x17B2
0x07 0111000|0001101 0x1C0D
0x08 0111010|0001101 0x1D0D
0x09 0111011|0001101 0x1D8D
0x0a 0111111|0110001 0x1FB1
0x0b 0111111|0110010 0x1FB2
0x0c 1000011|0111010 0x21BA
0x0d 1000011|0111011 0x21BB
0x0e 1000100|0111010 0x223A
0x0f 1000100|0111011 0x223B
BX = 001 Event : 58
0x00 0001101|0011110 0x069E
0x01 0010000|0100110 0x0826
0x02 0101000|0110010 0x1432
0x03 0110111|0110010 0x1BB2
0x04 0111011|1000011 0x1DC3
BX = 010 Event : 59
0x00 0101110|0110011 0x1733
0x01 0101110|0110100 0x1734
0x02 0101111|0110100 0x17B4
0x03 0110000|0110011 0x1833
0x04 0110000|0110100 0x1834
0x05 0110001|0110011 0x18B3
0x06 0110001|0110100 0x18B4
BX = 011 Event : 60
0x00 1001001|1000000 0x24C0
0x01 1001001|1000001 0x24C1
BX = 100 Event : 61
0x00 0000001|0101011 0x00AB
0x01 0110010|0000000 0x1900
0x02 0110010|0000011 0x1903
BX = 101 Event : 62
0x00 0001011|0001110 0x058E
0x01 0001100|0001110 0x060E
0x02 0001100|0010001 0x0611
0x03 0001100|0010011 0x0613
0x04 0001100|0010101 0x0615
0x05 0001110|0010101 0x0715
0x06 0001111|0010101 0x0795
0x07 0011011|0010101 0x0D95
0x08 0110101|0000000 0x1A80
0x09 0111100|0000111 0x1E07
0x0a 0111100|0001110 0x1E0E
0x0b 0111100|0010001 0x1E11
0x0c 0111100|0010011 0x1E13
0x0d 0111100|0010101 0x1E15
0x0e 0111101|0001110 0x1E8E
0x0f 0111101|0010001 0x1E91
0x10 0111101|0010011 0x1E93
0x11 0111101|0010101 0x1E95
BX = 110 Event : 63
0x00 0010011|0010100 0x0994
