BX = 000 Event : 1
0x09 0101101|1000010 0x16C2
0x0a 0101101|1001000 0x16C8
0x0b 0101111|1000010 0x17C2
0x0c 0101111|1000110 0x17C6
0x0d 0101111|1001000 0x17C8
0x0e 0110100|1001000 0x1A48
0x0f 0111000|0010101 0x1C15
0x10 0111101|1000010 0x1EC2
0x11 0111101|1001000 0x1EC8
0x12 0111110|1000010 0x1F42
0x13 0111110|1000110 0x1F46
0x14 0111110|1001000 0x1F48
0x15 1000000|1001000 0x2048
BX = 010 Event : 75
0x00 0000010|0000100 0x0104
0x01 0000011|0000100 0x0184
0x02 0000011|0001001 0x0189
0x03 0000110|0000100 0x0304
0x04 0000110|0001001 0x0309
0x05 0000110|0001101 0x030D
0x06 0001000|0001101 0x040D
0x07 0001000|0010001 0x0411
0x08 0001000|0010011 0x0413
0x09 0001000|0010100 0x0414
0x0a 0001011|0001101 0x058D
0x0b 0001011|0010001 0x0591
0x0c 0001011|0010011 0x0593
0x0d 0001011|0010100 0x0594
0x0e 0001011|0010110 0x0596
0x0f 0001100|0010001 0x0611
0x10 0001100|0010011 0x0613
0x11 0001100|0010100 0x0614
0x12 0001100|0010110 0x0616
0x13 0101000|0101110 0x142E
0x14 0101000|0101111 0x142F
0x15 0111000|0000100 0x1C04
0x16 0111000|0001001 0x1C09
BX = 011 Event : 76
BX = 100 Event : 77
0x00 0011010|0100100 0x0D24
0x01 0100111|0100100 0x13A4
BX = 101 Event : 78
0x00 0001111|0001100 0x078C
0x01 0010000|0001100 0x080C
BX = 110 Event : 79
0x00 0000001|0001010 0x008A
0x01 0000110|0001010 0x030A
0x02 0000110|0001100 0x030C
0x03 0001000|0001100 0x040C
0x04 0101011|0111100 0x15BC
0x05 0101100|0111100 0x163C
0x06 0110111|0001010 0x1B8A
0x07 0110111|0001100 0x1B8C
BX = 111 Event : 80
0x00 0000010|0000001 0x0101
0x01 0001010|0101111 0x052F
0x02 0001110|0011010 0x071A
0x03 0001110|0011111 0x071F
0x04 0001110|0100010 0x0722
0x05 0011000|0101111 0x0C2F
0x06 0100101|0000001 0x1281
0x07 0100111|0000001 0x1381
BX = 000 Event : 81
0x00 0000011|0001000 0x0188
0x01 0000100|0001000 0x0208
0x02 0000101|0001000 0x0288
BX = 001 Event : 82
0x00 1000010|0100110 0x2126
0x01 1000011|0000000 0x2180
0x02 1000011|0100110 0x21A6
0x03 1000100|0100110 0x2226
BX = 010 Event : 83
0x00 0011100|0011100 0x0E1C
0x01 0101000|0100100 0x1424
0x02 0110110|0001001 0x1B09
BX = 011 Event : 84
0x00 0100111|0000101 0x1385
BX = 100 Event : 85
0x00 0001000|0010011 0x0413
0x01 0001110|0000110 0x0706
0x02 0100101|0011011 0x129B
0x03 0110111|0000011 0x1B83
0x04 0111011|0000011 0x1D83
0x05 0111100|0000011 0x1E03
0x06 0111101|0000110 0x1E86
0x07 1000100|0011011 0x221B
BX = 101 Event : 86
0x00 0000100|0001100 0x020C
0x01 0000100|0001101 0x020D
0x02 0000101|0001101 0x028D
0x03 0100111|0100110 0x13A6
0x04 0101010|0001100 0x150C
0x05 0101010|0001101 0x150D
0x06 0101101|0001100 0x168C
BX = 110 Event : 87
0x00 0000000|0000001 0x0001
0x01 0000000|0000010 0x0002
0x02 0011010|0110111 0x0D37
0x03 0011010|0111011 0x0D3B
BX = 111 Event : 88
BX = 000 Event : 89
0x00 0000111|0010100 0x0394
0x01 0001001|0010110 0x0496
0x02 0100001|0000110 0x1086
BX = 001 Event : 90
0x00 0011100|0100010 0x0E22
BX = 010 Event : 91
0x00 0011000|0010001 0x0C11
0x01 0011000|0010100 0x0C14
BX = 011 Event : 92
BX = 100 Event : 93
0x00 0101100|0010011 0x1613
BX = 101 Event : 94
0x00 0010010|0011011 0x091B
0x01 0010010|0011100 0x091C
0x02 0011011|0011011 0x0D9B
0x03 0011011|0011100 0x0D9C
BX = 110 Event : 95
0x00 0011001|0100011 0x0CA3
BX = 111 Event : 96
0x00 0000100|0000010 0x0202
0x01 0000101|0000010 0x0282
0x02 0000101|0000111 0x0287
0x03 0000111|0000111 0x0387
0x04 0000111|0001001 0x0389
0x05 0001000|0001001 0x0409
0x06 0001010|0001001 0x0509
0x07 0001010|0001101 0x050D
0x08 0001011|0011001 0x0599
0x09 0010010|0011001 0x0919
0x0a 0101100|0110101 0x1635
0x0b 0101100|0111000 0x1638
0x0c 0101101|0110101 0x16B5
0x0d 0101101|0111000 0x16B8
0x0e 0101110|0110101 0x1735
0x0f 0101110|0111000 0x1738
